x,y,category
-1.716,1.172,0
-1.588,0.772,1
-0.504,-0.112,1
-1.324,0.332,1
0.92,-0.332,0
1.332,0.644,0
-0.804,0.988,0
0.848,-1.884,1
1.328,0.276,0
-1.412,1.228,0
1.284,0.456,0
-0.212,0.336,0
0.144,-1.964,1
0.064,0.276,1
0.676,-1.948,1
1.348,-0.136,1
-1.904,1.808,0
1.264,-0.42,1
0.688,0.668,1
0.44,0.396,1
1.456,0.544,0
-0.032,-1.508,0
-0.604,-1.788,0
0.432,1.2,0
-1.832,-1.128,1
1.612,1.336,1
0.432,1.512,0
1.744,1.096,1
0.676,1.22,0
-0.66,-0.424,1
-0.832,-0.74,1
-0.42,1.788,1
-0.056,1.056,1
0.468,1.66,0
0.18,0.628,1
-0.256,-0.936,1
-0.536,1.784,1
-0.392,1.736,1
-0.256,1.128,1
-1.096,0.176,1
-1.396,-0.528,0
1.344,1.436,1
1.024,-0.784,1
-0.052,0.34,0
0.34,-0.168,0
1.72,1.312,1
-1.548,1.176,0
1.584,0.684,0
1.924,-1.024,0
-1.856,-0.976,0
-1.236,-1.996,1
-0.776,1.18,1
1.32,0.708,0
1.192,1.3,1
0.352,0.06,1
-0.472,1.396,1
1.788,-0.02,1
1.92,1.292,1
-0.436,1.02,1
0.02,-1.604,1
-1.152,-0.476,0
0.84,1.72,0
0.54,1.484,0
0.284,-1.116,1
-0.032,-1.988,0
0.964,-1.608,1
1.04,-0.804,1
-0.412,-0.152,1
-0.832,-1.168,0
0.364,-1.512,1
-0.372,-0.072,1
0.624,-0.904,0
1.608,0.512,0
-0.58,-1.164,0
-0.972,1.904,1
1.984,-1.564,0
-1.544,-0.96,0
1.264,1.272,1
1.608,1.996,1
0.292,-1.38,1
0.488,-1.824,1
1.7,-0.172,1
1.856,0.692,0
-1.396,0.352,1
-0.58,-1.576,0
-1.996,-1.892,1
0.624,1.968,0
1.16,0.864,0
1.508,0.708,0
-1.272,0.252,1
-0.304,-1.964,0
1.1,-0.428,1
-1.004,0.468,1
-1.524,-0.988,0
-0.744,1.388,1
0.16,1.828,0
1.748,-1.752,0
0.192,1.896,0
0.304,1.456,0
-0.252,-1.12,0
0.912,-1.74,1
-1.984,0.072,1
-0.672,0.968,0
-0.776,1.1,1
-1.408,-0.28,0
-0.028,-0.544,1
1.428,-1.108,0
0.428,0.212,1
-0.256,-0.764,1
0.888,1.056,0
-0.464,-0.768,1
-1.464,-0.448,0
-0.548,1.948,1
0.32,1.7,0
-0.576,0.064,0
1.496,-1.888,0
-0.972,-1.756,0
-1.292,1.252,0
1.108,-1.8,0
0.076,-1.104,1
1.336,0.408,0
0.616,1.584,0
0.108,1.716,0
1.296,1.996,1
1.892,1.232,1
0.708,-1.184,1
-0.576,1.732,1
-0.82,0.704,0
-1.792,-0.304,0
1.264,1.308,1
-0.852,0.328,0
-0.948,-1.324,0
1.784,0.328,0
1.516,0.624,0
1.336,1.176,1
-1.364,0.58,1
0.136,0.06,1
1.856,-0.536,1
-1.384,-1.872,1
-0.276,-0.308,1
0.884,-1.3,1
-1.216,-1.068,1
-0.976,1.556,1
-1.14,-1.744,1
-1.284,0.468,1
1.384,1.92,1
-0.084,-1.176,0
1.664,-1.032,0
0.14,-1.364,1
0.932,0.368,1
-1.196,-1.592,1
0.156,1.024,0
1.816,-0.104,1
-1.32,0.392,1
-0.316,0.152,0
-0.032,-1.444,0
-1.164,1.168,0
-0.716,1.752,1
1.888,-1.436,0
0.58,-1.848,1
-0.32,-0.868,1
-0.904,-0.232,1
-0.588,0.364,0
-0.72,-0.764,1
-0.448,1.796,1
-1.08,-1.304,1
-0.112,1.768,1
-0.9,1.668,1
-1.42,-0.068,0
-0.42,-0.488,1
1.552,1.9,1
-0.568,-1.072,0
-1.024,1.152,0
1.628,-0.036,1
0.708,-0.06,0
0.34,-0.844,0
1.312,1.748,1
1.88,-0.856,1
-0.028,0.296,0
-0.548,0.084,0
0.548,-0.9,0
-0.164,0.536,0
0.12,-1.496,1
-1.412,-0.612,0
-1.144,-0.96,0
-1.024,-0.66,0
0.816,0.048,1
1.064,-0.892,1
0.968,1.592,0
0.372,-0.316,0
-1.308,-1.28,1
1.428,-1.592,0
1.92,1.068,1
-0.84,1.308,1
1.856,1.076,1
1.48,-0.676,1
-1.552,1.848,0
-0.748,-0.772,1
0.24,-1.88,1
0.852,-1.912,1
0.372,1.08,0
1.608,1.756,1
-0.516,1.144,1
-1.268,-0.732,0
0.764,-1.012,1
0.548,-0.576,0
-0.5,-1.024,0
1.576,0.728,0
-0.916,-1.224,0
-0.12,-1.408,0
1.18,-0.768,1
-1.364,0.672,1
0.316,-0.844,0
1.804,-0.848,1
-0.928,0.968,0
-0.66,-0.112,1
-0.344,0.564,0
0.688,1.816,0
-1.912,0.672,1
-1.888,-0.772,0
-1.912,1.74,0
-0.58,-0.816,1
1.428,-0.276,1
-1.064,-0.476,0
0.428,1.756,0
1.4,-1.1,0
-1.904,0.156,1
-1.02,-1.6,1
-0.424,-0.108,1
0.548,-0.536,0
-0.664,1.696,1
-0.172,-1.076,0
-1.44,1.976,0
1.184,-1.956,0
1.612,-1.572,0
-1.208,-1.356,1
1.884,1.948,1
1.932,-1.612,0
1.98,-0.912,1
1.404,-0.752,1
-1.092,-1.292,1
-1.052,-0.912,0
0.164,-1.944,1
1.852,-1.016,0
0.032,1.752,0
-1.748,-1.488,1
-1.072,-1.208,1
-1.22,-1.484,1
-0.676,1.228,1
1.508,0.5,0
1.976,-0.724,1
-0.656,0.984,0
1.548,1.26,1
1.516,-1.424,0
-0.776,1.576,1
-1.588,1.22,0
-1.16,1.544,0
-1.484,-1.54,1
-1.516,-0.156,0
1.864,-0.064,1
1.484,1.316,1
0.228,0.228,1
-1.172,1.052,0
-1.192,1.388,0
1.96,-0.324,1
1.2,0.972,0
0.908,1.9,0
0.992,0.028,1
-0.384,-1.432,0
-0.056,-0.284,1
-1.168,0.636,1
1.724,0.616,0
1.36,-1.716,0
-0.748,-1.916,0
1.516,0.568,0
0.216,-0.18,0
1.82,0.868,0
1.228,1.788,1
-1.096,0.28,1
-1.672,0.776,1
0.272,0.624,1
1.424,-1.172,0
1.116,1.872,1
0.172,-1.476,1
-1.22,-0.58,0
1.236,-0.828,1
-0.012,1.468,1
1.624,-0.064,1
-1.708,1.164,0
0.98,0.148,1
-0.988,-1.84,0
0.724,-0.596,0
0.772,-1.12,1
-1.68,1.288,0
-1.756,-1.416,1
-0.484,-1.248,0
-1.276,-0.028,0
1.012,1.204,1
-1.084,-1.924,1
-1.04,-1.068,1
-1.592,1.916,0
0.736,-0.348,0
0.176,0.476,1
-1.64,-0.276,0
-0.48,1.22,1
0.964,-1.728,1
-0.716,-0.608,1
-1.828,0.336,1
0.196,-0.272,0
-1.532,0.116,1
1.952,-1.552,0
-1.936,-1.104,1
-0.86,-1.088,0
0.556,-1.924,1
0.472,0.908,1
-0.516,1.228,1
-0.236,-0.896,1
-0.184,-1.856,0
1.044,-0.972,1
1.424,0.964,0
-0.388,0.54,0
-1.696,0.732,1
0.244,-1.232,1
1.136,-1.072,0
1.92,1.236,1
-1.46,-0.772,0
-0.972,-1.336,0
0.396,1.148,0
1.268,1.788,1
-1.496,0.424,1
-0.308,1.596,1
1.236,-0.596,1
-1.808,0.992,1
1.824,1.66,1
-1.156,-1.744,1
-0.788,-1.744,0
1.388,-1.016,0
-1.768,1.388,0
-0.188,-0.744,1
1.148,0.18,0
-0.556,-0.432,1
-0.552,-0.04,1
-1.788,0.364,1
-1.092,0.784,1
0.26,0.072,1
1.688,0.692,0
1.428,1.976,1
1.264,-0.84,1
0.192,-0.796,0
-0.824,-0.24,1
0.052,-0.404,0
0.404,-0.42,0
-0.732,0.68,0
-0.4,0.772,0
-1.648,1.4,0
1.764,1.22,1
0.748,0.072,1
0.924,-0.968,0
0.332,1.112,0
-1.244,-0.336,0
-0.724,-0.068,1
1.696,1.256,1
-1.836,-1.98,1
1.84,0.592,0
0.484,0.832,1
-0.876,0.924,0
0.816,1.128,0
-0.26,-1.14,0
-0.832,-1.856,0
1.868,0.564,0
0.064,-1.216,1
0.06,1.552,0
-1.62,-0.864,0
0.968,1.912,0
-1.552,-1.204,1
1.22,-1.276,0
-1.4,1.872,0
0.904,-1.0,0
-0.932,0.92,0
1.876,-1.7,0
-0.668,1.852,1
-0.072,0.86,0
-0.768,0.5,0
-1.924,1.016,0
-1.672,-1.676,1
-1.08,-0.68,0
-1.196,-0.56,0
0.244,1.288,0
-1.864,1.888,0
0.06,-0.412,0
0.232,0.776,1
-0.444,-0.984,1
0.256,1.532,0
0.92,0.6,1
-0.852,-1.148,0
-1.276,-0.804,0
-0.528,-1.28,0
1.408,-1.04,0
0.592,1.464,0
-1.708,-0.9,0
1.072,1.952,1
1.152,-1.052,0
0.108,-1.496,1
-1.712,-1.764,1
0.76,-0.864,0
-1.16,0.54,1
-1.624,-0.588,0
-1.98,-1.908,1
-0.048,-1.156,0
-0.104,0.636,0
-1.296,0.66,1
-1.404,0.256,1
0.988,-1.812,1
-0.996,-0.048,1
1.684,0.768,0
-0.52,0.356,0
1.276,-1.596,0
0.06,-1.804,1
1.14,-0.896,1
-0.812,-1.124,0
-0.312,-1.74,0
-0.916,-1.068,0
-0.348,-0.064,1
-0.572,1.968,1
0.984,0.716,1
-0.256,-0.432,1
-1.416,-0.272,0
1.02,1.976,1
-1.616,-1.736,1
1.104,-0.932,1
0.336,-1.72,1
-0.976,-0.092,1
-0.912,-0.22,1
-1.192,-1.144,1
-1.38,0.12,1
-1.908,1.54,0
0.172,0.928,1
0.456,-1.772,1
-1.968,1.976,0
-0.508,1.0,1
1.096,1.74,1
0.824,-1.092,1
